is_directed_int,has_spatial_attributes,has_temporal_attributes,is_bipartite,n_components,avg_betweenness_centrality,avg_closeness_centrality,avg_eigenvector_centrality,avg_degree,std_degree,clustering_coefficient,transitivity,modularity,communities,avg_shortest_path_length,radius,diameter,assortativity,vertex_connectivity,eccentricity_avg,n_nodes,node_types,node_attributes,number_of_isolates,density,edge_types,edge_attributes,n_parallel_edges,n_self_loops,graph_type_1,graph_type_2,graph_type_4,graph_type_3
1,0,1,0,5,0.2549921910307449,0.2600818483375428,0.6326626124837641,64,7.932194458227,0.023032573105959075,0.893178725199749,0.9608911566915026,110,12.873712288817861,8,7,0.5599196750389808,5,3.18235658718413,1489,2,1,138,0.15191019106550752,3,7,2,2,1,0,0,0
1,0,1,0,0,0.3282252165896309,0.5143294017104539,0.34298836236368835,23,6.214368449207556,0.5773130969826562,0.9999152188646352,-0.41489815705092853,135,7.144176506068437,11,17,-0.09533741185775457,18,3.510233999875726,16101,1,10,58,0.4295640414130242,1,10,2,1,0,1,0,0
1,1,1,0,5,0.22814975317455213,0.5780274285671249,0.6524467320249765,29,1.2184817722411623,0.8719087054395926,0.1530023935700452,0.6313768553817913,45,12.640592650342208,1,2,-0.8867072803971805,74,14.245749692045942,8099,1,5,46,0.7731190778785856,2,4,0,0,0,0,1,0
0,0,1,0,9,0.10488469548693985,0.3825947617373259,0.4276150268655691,16,7.35487649797551,0.9510692312159245,0.5721460118212317,-0.1854153908583035,113,2.917800876272287,6,14,0.9747356135540439,1,3.1844914875049026,16225,2,5,109,0.9595524150549679,2,2,2,3,1,0,0,0
0,1,1,0,2,0.2608103497884747,0.46096579647695946,0.4937676936686194,66,5.506427050216415,0.6112425703198908,0.7996475089108099,-0.38308500687425595,96,6.764020525794757,12,1,-0.6147378277759272,44,7.310536636397159,4433,2,9,14,0.3617472969280482,3,0,0,2,0,1,0,0
0,0,0,0,7,0.2220007178259004,0.378887584972177,0.5029944657292472,75,0.31809702278471885,0.9124884622767968,0.566339394477144,0.6694721898840683,45,1.4857083450394635,10,14,-0.09138756914237556,74,2.583135785985087,5362,1,14,102,0.6211193296651185,1,8,3,1,0,1,0,0
0,0,0,0,2,0.08399899825898438,0.38799077686622063,0.5126795578856368,77,2.395721395387773,0.26962771375114236,0.6302488926625319,-0.3675898791923768,81,7.931704681212064,7,14,0.9311043767753506,25,7.421973263950745,7313,1,12,96,0.9390017307463314,1,7,1,0,0,1,0,0
0,0,0,0,7,0.12495179693716033,0.147158960335256,0.16026122871444548,92,6.958627868243007,0.5763770538621751,0.004202280401326752,0.4082029825068654,148,10.421929660841071,5,7,-0.899422689227785,33,14.872627161807165,10002,3,4,145,0.9815318433275119,2,8,1,4,0,0,0,1
0,1,0,1,8,0.22447964139499843,0.71281200334576,0.6542055487019532,64,6.038984239210849,0.18030414988039134,0.735840609977729,0.7873677257474145,149,11.233676411011325,7,1,0.3646851393387416,78,8.811220304407312,7305,3,12,58,0.9722238328001337,3,2,2,2,0,0,1,0
1,0,1,1,1,0.10339793364480844,0.9393628081935949,0.26065179767164576,34,1.2925196479144345,0.36491823582541993,0.6991356081838679,0.9266996613286489,138,9.591267628260743,4,7,-0.24081628188453186,39,16.579584226756428,9225,2,5,82,0.9594267072723245,2,7,0,3,0,0,1,0
0,1,0,1,2,0.08717889184192366,0.17792349305595434,0.6281926295054534,30,3.5086847252139366,0.01641426601948015,0.4278160517479864,-0.274200027894835,69,13.100111044020734,13,3,-0.7494314996570168,18,12.714828368427321,7463,3,7,21,0.5357945093255461,1,12,4,1,1,0,0,0
1,0,0,1,9,0.0222781051101319,0.6750950963233203,0.02785673051759978,18,5.681285424938684,0.2700065619899519,0.542687379876404,0.6248978891276002,17,11.02587185206975,7,15,0.7664047177633984,65,15.353027881517464,19323,1,5,108,0.12072361548045063,3,8,3,3,0,1,0,0
0,0,1,1,4,0.23710218599879374,0.5327434251543309,0.1490463353282253,61,3.6939581693244135,0.15287722989981078,0.09978330943180413,0.8359749727070556,47,8.799922087250383,9,11,0.31079702600123826,73,0.5091396590296817,13561,2,13,6,0.00251334772541556,2,12,3,2,0,1,0,0
1,0,1,1,2,0.015894221240450774,0.20653355719512034,0.09366530861306514,85,1.1053871917511966,0.08775944391956692,0.9070969535700049,0.15319245866800357,35,9.46651563094044,12,10,0.23998611736740694,68,3.5679610567801188,17336,4,7,15,0.35645144164824183,4,0,0,4,0,1,0,0
1,0,1,0,1,0.1921866922844929,0.3968225125602838,0.41046506798588933,82,2.3606179848112703,0.026232546971419635,0.824979332999866,0.6588880644645514,24,4.126981116189552,7,11,-0.8433545829179832,57,5.788491877748582,13948,4,11,34,0.7221868740692141,3,7,1,0,1,0,0,0
0,0,1,1,5,0.25333506655125987,0.7427804496912744,0.05713376869730471,77,4.629076368455985,0.18600117554086415,0.3908975357921509,-0.17213731051706854,51,10.915865261694139,7,3,0.038667256131558414,54,2.792212248143442,19763,3,0,118,0.03212957603780908,3,5,1,3,1,0,0,0
1,1,0,1,2,0.0037110360924816747,0.8305251554387765,0.10727401348525939,88,1.8770114755040632,0.43911876566896135,0.6933263206384842,0.7487919576748228,108,2.3748709250555073,4,5,0.2429770851227384,20,1.965923987947345,11743,4,5,132,0.22950942560273413,2,14,0,2,0,0,1,0
0,1,0,0,1,0.16080868633213738,0.4601838448701794,0.38441183124020295,19,6.955527066393905,0.8394826459637179,0.6889017308636949,0.6660086628422079,22,4.961317581257617,10,9,0.7647901639879946,7,4.674746482930709,2178,3,7,27,0.2675154405422451,2,4,1,4,0,0,0,1
0,1,0,0,1,0.0770163566992136,0.11293645661782437,0.07552255891305021,14,5.258549397811169,0.5516104889173804,0.018786634039787753,-0.3210076245614594,149,13.381078451844015,5,12,-0.37832238244273,5,7.529105283973073,5696,2,3,30,0.3838133362353603,3,4,2,4,0,0,1,0
1,0,0,0,1,0.26541182726233853,0.6432442530478257,0.6627651397678628,97,2.7016207905356318,0.21911982776401695,0.8888103488661719,0.9731347549099365,35,1.6744595998648346,9,17,0.27257493534413313,33,5.377877199717398,18193,1,12,83,0.5939599433694078,2,5,4,1,0,0,0,1
1,0,1,1,6,0.12213447640354347,0.37529164445334096,0.09149807493817957,55,3.179046723309561,0.16416522626320462,0.3769416451915989,0.0517069167543448,4,10.380231842298691,5,14,-0.7821902439721855,21,16.126572097023452,5029,2,10,122,0.17393573170904164,3,13,0,3,0,0,0,1
0,1,0,0,5,0.21546739392765776,0.1332489978136583,0.0044392486874469395,92,7.644412598101307,0.6768995308085847,0.8132467592216543,0.9664353264331296,128,7.139021089048756,7,7,-0.883211626246845,12,14.202913972003294,6964,2,9,111,0.8912532444410968,2,2,4,1,0,1,0,0
0,0,1,1,2,0.20783128122500458,0.6184960343261902,0.49673297024514385,82,6.704281703622591,0.3733103991326129,0.067230933053538,0.09262165043610393,43,13.805580269113634,8,5,-0.030553497291428977,73,1.858909797918662,15023,4,4,114,0.615096215169433,3,13,1,2,0,1,0,0
1,1,1,1,2,0.03766922676118825,0.9358604203262518,0.6175388303372914,30,7.263210050475455,0.7014681745039036,0.6629822439304365,0.13091278371041093,41,1.015867877680556,4,13,-0.643471989761137,56,2.0261801948557725,16175,3,9,66,0.3724456839831577,4,2,3,4,1,0,0,0
